Leagues,Date,Time,HomeTeam,AwayTeam,MatchResult,OverUnderGoals,AltOverGoals,AltUnderGoals,BothTeamstoScore,ToWinEitherHalf,TotalGoalsOddEven,CleanSheet,NoCleanSheet,HomeTeamtoScoreinBothHalves,AwayTeamtoScoreinBothHalves,FirstHalfOverUnder,YesBothtoScoreTotalGoalsOverUnder25,NoBothtoScoreTotalGoalsOverUnder25,YesBothtoScoreTotalGoalsOverUnder35,NoBothtoScoreTotalGoalsOverUnder35,YesBothtoScoreTotalGoalsOverUnder45,NoBothtoScoreTotalGoalsOverUnder45
UEFA Europa Conference League,"Dec 14, 2023",18:45,Ferencvarosi,Fiorentina,Ferencvarosi   2.55 | Draw   3.50 | Fiorentina   2.45,2.5  1.64 | 2.5  2.15,0.5 | 1.5   1.18 | 3.5   2.66 | 4.5   4.96 | 5.5   10.00 | 6.5   13.11,0.5   13.11 | 1.5   4.38 | 3.5   1.43 | 4.5   1.15 | 5.5   1.02 | 6.5,Yes  1.49 | No  2.41,Ferencvarosi  1.80 | Fiorentina  1.80,Yes  1.49 | No  2.41,Ferencvarosi   4.30 | Fiorentina   4.30,Ferencvarosi   1.23 | Fiorentina   1.23,Yes  3.27 | No  1.28,Yes  3.27 | No  1.28,1.5  2.40 | 1.5  1.49,Yes   2.5  1.90 | 2.5  7.00,No   2.5  11.00 | 2.5  3.00,Yes   3.5  2.90 | 3.5  3.10,No   3.5  25.00 | 3.5  2.65,Yes   4.5  5.25 | 4.5  2.10,No   4.5  40.00 | 4.5  2.55
UEFA Europa Conference League,"Dec 14, 2023",18:45,Racing Genk,FK Cukaricki,Racing Genk   1.12 | Draw   7.25 | FK Cukaricki   17.00,2.5  1.58 | 2.5  2.26,0.5 | 1.5   1.15 | 3.5   2.58 | 4.5   4.89 | 5.5   10.03 | 6.5   13.11,0.5   13.11 | 1.5   4.81 | 3.5   1.45 | 4.5   1.15 | 5.5   1.02 | 6.5,Yes  2.59 | No  1.43,Racing Genk  1.06 | FK Cukaricki  7.04,Yes  2.59 | No  1.43,Racing Genk   1.54 | FK Cukaricki   12.00,Racing Genk   2.55 | FK Cukaricki   1.05,Yes  1.73 | No  1.97,Yes  11.37 | No,1.5  2.28 | 1.5  1.54,Yes   2.5  3.15 | 2.5  13.50,No   2.5  3.15 | 2.5  2.65,Yes   3.5  4.40 | 3.5  6.00,No   3.5  6.00 | 3.5  1.90,Yes   4.5  7.25 | 4.5  3.90,No   4.5  12.00 | 4.5  1.63
UEFA Europa Conference League,"Dec 14, 2023",18:45,Aberdeen,Eintracht Frankfurt,Aberdeen   5.00 | Draw   4.00 | Eintracht Frankfurt   1.57,2.5  1.71 | 2.5  2.04,0.5 | 1.5   1.20 | 3.5   2.86 | 4.5   5.51 | 5.5   11.29 | 6.5   13.11,0.5   13.03 | 1.5   4.12 | 3.5   1.38 | 4.5   1.12 | 5.5   1.01 | 6.5,Yes  1.69 | No  2.02,Aberdeen  2.87 | Eintracht Frankfurt  1.35,Yes  1.69 | No  2.02,Aberdeen   6.50 | Eintracht Frankfurt   2.55,Aberdeen   1.13 | Eintracht Frankfurt   1.53,Yes  5.81 | No  1.09,Yes  2.42 | No  1.49,1.5  2.49 | 1.5  1.46,Yes   2.5  2.15 | 2.5  7.75,No   2.5  7.75 | 2.5  2.75,Yes   3.5  3.30 | 3.5  3.45,No   3.5  17.00 | 3.5  2.30,Yes   4.5  6.00 | 4.5  2.35,No   4.5  31.00 | 4.5  2.15
UEFA Europa Conference League,"Dec 14, 2023",18:45,PAOK,HJK Helsinki,PAOK   1.31 | Draw   4.80 | HJK Helsinki   8.50,2.5  1.69 | 2.5  2.07,0.5 | 1.5   1.19 | 3.5   2.85 | 4.5   5.51 | 5.5   11.36 | 6.5   13.11,0.5   13.11 | 1.5   4.21 | 3.5   1.38 | 4.5   1.12 | 5.5   1.01 | 6.5,Yes  1.96 | No  1.74,PAOK  1.19 | HJK Helsinki  4.06,Yes  1.96 | No  1.74,PAOK   2.00 | HJK Helsinki   8.25,PAOK   1.85 | HJK Helsinki   1.08,Yes  2.08 | No  1.65,Yes  8.87 | No  1.03,1.5  2.46 | 1.5  1.47,Yes   2.5  2.50 | 2.5  9.00,No   2.5  5.25 | 2.5  2.60,Yes   3.5  3.70 | 3.5  4.10,No   3.5  11.00 | 3.5  2.05,Yes   4.5  6.50 | 4.5  2.80,No   4.5  22.00 | 4.5  1.89
UEFA Europa Conference League,"Dec 14, 2023",18:45,Fenerbahce,Spartak Trnava,Fenerbahce   1.12 | Draw   7.25 | Spartak Trnava   17.00,2.5  1.58 | 2.5  2.26,0.5 | 1.5   1.15 | 3.5   2.58 | 4.5   4.89 | 5.5   10.03 | 6.5   13.11,0.5   13.11 | 1.5   4.81 | 3.5   1.45 | 4.5   1.15 | 5.5   1.02 | 6.5,Yes  2.59 | No  1.43,Fenerbahce  1.06 | Spartak Trnava  7.04,Yes  2.59 | No  1.43,Fenerbahce   1.54 | Spartak Trnava   12.00,Fenerbahce   2.55 | Spartak Trnava   1.05,Yes  1.73 | No  1.97,Yes  11.37 | No,1.5  2.28 | 1.5  1.54,Yes   2.5  3.15 | 2.5  13.50,No   2.5  3.15 | 2.5  2.65,Yes   3.5  4.40 | 3.5  6.00,No   3.5  6.00 | 3.5  1.90,Yes   4.5  7.25 | 4.5  3.90,No   4.5  12.00 | 4.5  1.63
UEFA Europa Conference League,"Dec 14, 2023",18:45,Ludogorets Razgrad,Nordsjaelland,Ludogorets Razgrad   2.50 | Draw   3.50 | Nordsjaelland   2.50,2.5  1.61 | 2.5  2.20,0.5 | 1.5   1.17 | 3.5   2.58 | 4.5   4.78 | 5.5   9.62 | 6.5   13.11,0.5   13.11 | 1.5   4.52 | 3.5   1.45 | 4.5   1.16 | 5.5   1.03 | 6.5,Yes  1.47 | No  2.46,Ludogorets Razgrad  1.79 | Nordsjaelland  1.79,Yes  1.47 | No  2.46,Ludogorets Razgrad   4.40 | Nordsjaelland   4.40,Ludogorets Razgrad   1.23 | Nordsjaelland   1.23,Yes  3.21 | No  1.29,Yes  3.21 | No  1.29,1.5  2.36 | 1.5  1.51,Yes   2.5  1.86 | 2.5  7.25,No   2.5  11.00 | 2.5  3.10,Yes   3.5  2.80 | 3.5  3.15,No   3.5  25.00 | 3.5  2.70,Yes   4.5  5.00 | 4.5  2.10,No   4.5  40.00 | 4.5  2.60
UEFA Europa Conference League,"Dec 14, 2023",21:00,Dinamo Zagreb,KF Ballkani,Dinamo Zagreb   1.50 | Draw   4.00 | KF Ballkani   5.75,2.5  1.77 | 2.5  1.96,0.5 | 1.5   1.22 | 3.5   3.05 | 4.5   6.02 | 5.5   12.49 | 6.5   13.11,0.5   12.27 | 1.5   3.88 | 3.5   1.34 | 4.5   1.10 | 5.5 | 6.5,Yes  1.80 | No  1.88,Dinamo Zagreb  1.30 | KF Ballkani  3.14,Yes  1.80 | No  1.88,Dinamo Zagreb   2.30 | KF Ballkani   6.50,Dinamo Zagreb   1.64 | KF Ballkani   1.12,Yes  2.39 | No  1.50,Yes  6.83 | No  1.06,1.5  2.59 | 1.5  1.43,Yes   2.5  2.35 | 2.5  7.75,No   2.5  7.00 | 2.5  2.55,Yes   3.5  3.60 | 3.5  3.60,No   3.5  15.00 | 3.5  2.15,Yes   4.5  6.75 | 4.5  2.45,No   4.5  30.00 | 4.5  2.00
UEFA Europa Conference League,"Dec 14, 2023",21:00,Club Brugge,Bodo Glimt,Club Brugge   1.75 | Draw   3.70 | Bodo Glimt   4.10,2.5  1.76 | 2.5  1.97,0.5 | 1.5   1.22 | 3.5   3.00 | 4.5   5.86 | 5.5   12.05 | 6.5   13.11,0.5   12.27 | 1.5   3.89 | 3.5   1.35 | 4.5   1.11 | 5.5 | 6.5,Yes  1.66 | No  2.07,Club Brugge  1.45 | Bodo Glimt  2.53,Yes  1.66 | No  2.07,Club Brugge   2.80 | Bodo Glimt   5.50,Club Brugge   1.46 | Bodo Glimt   1.16,Yes  2.68 | No  1.40,Yes  5.21 | No  1.12,1.5  2.58 | 1.5  1.43,Yes   2.5  2.15 | 2.5  7.25,No   2.5  9.00 | 2.5  2.65,Yes   3.5  3.40 | 3.5  3.25,No   3.5  20.00 | 3.5  2.30,Yes   4.5  6.25 | 4.5  2.25,No   4.5  36.00 | 4.5  2.20
UEFA Europa Conference League,"Dec 14, 2023",21:00,Lugano,Besiktas,Lugano   2.50 | Draw   3.50 | Besiktas   2.50,2.5  1.66 | 2.5  2.12,0.5 | 1.5   1.19 | 3.5   2.74 | 4.5   5.15 | 5.5   10.39 | 6.5   13.11,0.5   13.11 | 1.5   4.26 | 3.5   1.41 | 4.5   1.14 | 5.5   1.02 | 6.5,Yes  1.51 | No  2.36,Lugano  1.80 | Besiktas  1.80,Yes  1.51 | No  2.36,Lugano   4.20 | Besiktas   4.20,Lugano   1.24 | Besiktas   1.24,Yes  3.34 | No  1.27,Yes  3.34 | No  1.27,1.5  2.44 | 1.5  1.48,Yes   2.5  1.95 | 2.5  7.00,No   2.5  11.50 | 2.5  2.95,Yes   3.5  2.95 | 3.5  3.10,No   3.5  25.00 | 3.5  2.60,Yes   4.5  5.50 | 4.5  2.10,No   4.5  41.00 | 4.5  2.50
UEFA Euro 2024 Qualifiers,"Mar 21, 2024",18:00,Georgia,Luxembourg,Georgia   2.00 | Draw   3.15 | Luxembourg   3.70,2.5  2.32 | 2.5  1.55,0.5   1.06 | 1.5   1.44 | 3.5   4.29 | 4.5   9.70 | 5.5   13.11 | 6.5   13.11,0.5   7.39 | 1.5   2.63 | 3.5   1.19 | 4.5   1.03 | 5.5 | 6.5,Yes  1.96 | No  1.70,Georgia  1.53 | Luxembourg  2.25,Yes  1.96 | No  1.70,Georgia   2.25 | Luxembourg   3.50,Georgia   1.57 | Luxembourg   1.29,Yes  3.38 | No  1.25,Yes  5.74 | No  1.08,0.5  1.47 | 0.5  2.45,Yes   2.5  2.75 | 2.5  6.50,No   2.5  11.00 | 2.5  1.95,Yes   3.5  5.00 | 3.5  3.15,No   3.5  27.00 | 3.5  1.83,Yes   4.5  10.50 | 4.5  2.35,No   4.5  43.00 | 4.5  1.79
UEFA Euro 2024 Qualifiers,"Mar 21, 2024",20:45,Wales,Finland,Wales   1.84 | Draw   3.30 | Finland   4.10,2.5  2.17 | 2.5  1.63,0.5   1.06 | 1.5   1.35 | 3.5   3.98 | 4.5   8.75 | 5.5   13.11 | 6.5   13.11,0.5   7.82 | 1.5   2.98 | 3.5   1.21 | 4.5   1.04 | 5.5 | 6.5,Yes  1.96 | No  1.70,Wales  1.46 | Finland  2.41,Yes  1.96 | No  1.70,Wales   2.25 | Finland   4.00,Wales   1.57 | Finland   1.22,Yes  3.13 | No  1.28,Yes  5.74 | No  1.08,0.5  1.42 | 0.5  2.60,Yes   2.5  2.65 | 2.5  6.50,No   2.5  9.00 | 2.5  2.05,Yes   3.5  4.70 | 3.5  3.20,No   3.5  25.00 | 3.5  1.88,Yes   4.5  9.50 | 4.5  2.35,No   4.5  40.00 | 4.5  1.83
