Leagues,Date,Time,HomeTeam,AwayTeam,MatchResult,OverUnderGoals,AltOverGoals,AltUnderGoals,BothTeamstoScore,ToWinEitherHalf,TotalGoalsOddEven,CleanSheet,NoCleanSheet,HomeTeamtoScoreinBothHalves,AwayTeamtoScoreinBothHalves,FirstHalfOverUnder,YesBothtoScoreTotalGoalsOverUnder25,NoBothtoScoreTotalGoalsOverUnder25,YesBothtoScoreTotalGoalsOverUnder35,NoBothtoScoreTotalGoalsOverUnder35,YesBothtoScoreTotalGoalsOverUnder45,NoBothtoScoreTotalGoalsOverUnder45
UEFA Euro 2024 Qualifiers,"Mar 21, 2024",20:45,Poland,Estonia,Poland   1.17 | Draw   6.25 | Estonia   14.50,2.5  1.70 | 2.5  2.05,0.5   1.02 | 1.5   1.21 | 3.5   2.76 | 4.5   5.42 | 5.5   10.67 | 6.5   13.11 | 7.5   13.11,0.5   10.67 | 1.5   3.98 | 3.5   1.40 | 4.5   1.12 | 5.5   1.02 | 6.5 | 7.5,Yes  2.57 | No  1.41,Poland  1.07 | Estonia  5.94,Yes  2.57 | No  1.41,Poland   1.53 | Estonia   9.00,Poland   2.40 | Estonia   1.07,Yes  1.82 | No  1.82,Yes  10.01 | No,1.5  2.45 | 1.5  1.47,Yes   2.5  3.10 | 2.5  12.00,No   2.5  3.40 | 2.5  2.40,Yes   3.5  4.60 | 3.5  5.50,No   3.5  7.25 | 3.5  1.79,Yes   4.5  8.00 | 4.5  3.60,No   4.5  15.00 | 4.5  1.58
UEFA Euro 2024 Qualifiers,"Mar 21, 2024",20:45,Bosnia-Herzegovina,Ukraine,Bosnia-Herzegovina   3.45 | Draw   3.60 | Ukraine   1.95,2.5  1.91 | 2.5  1.81,0.5   1.02 | 1.5   1.27 | 3.5   3.36 | 4.5   6.85 | 5.5   13.11 | 6.5   13.11,0.5   10.67 | 1.5   3.45 | 3.5   1.29 | 4.5   1.08 | 5.5 | 6.5,Yes  1.77 | No  1.88,Bosnia-Herzegovina  2.20 | Ukraine  1.55,Yes  1.77 | No  1.88,Bosnia-Herzegovina   4.00 | Ukraine   2.65,Bosnia-Herzegovina   1.22 | Ukraine   1.44,Yes  4.80 | No  1.12,Yes  2.92 | No  1.32,0.5  1.39 | 0.5  2.73,Yes   2.5  2.25 | 2.5  7.00,No   2.5  9.00 | 2.5  2.30,Yes   3.5  3.90 | 3.5  3.10,No   3.5  24.00 | 3.5  2.10,Yes   4.5  7.50 | 4.5  2.25,No   4.5  39.00 | 4.5  2.05
UEFA Euro 2024 Qualifiers,"Mar 21, 2024",20:45,Israel,Iceland,Israel   2.15 | Draw   3.20 | Iceland   3.20,2.5  1.91 | 2.5  1.81,0.5   1.03 | 1.5   1.27 | 3.5   3.36 | 4.5   6.85 | 5.5   13.11 | 6.5   13.11,0.5   9.70 | 1.5   3.45 | 3.5   1.29 | 4.5   1.08 | 5.5 | 6.5,Yes  1.70 | No  1.96,Israel  1.66 | Iceland  2.02,Yes  1.70 | No  1.96,Israel   3.00 | Iceland   3.80,Israel   1.36 | Iceland   1.25,Yes  3.38 | No  1.25,Yes  4.32 | No  1.15,0.5  1.39 | 0.5  2.73,Yes   2.5  2.25 | 2.5  6.00,No   2.5  11.00 | 2.5  2.40,Yes   3.5  3.80 | 3.5  3.05,No   3.5  26.00 | 3.5  2.15,Yes   4.5  7.50 | 4.5  2.20,No   4.5  42.00 | 4.5  2.05
UEFA Euro 2024 Qualifiers,"Mar 21, 2024",20:45,Greece,Kazakhstan,Greece   1.32 | Draw   4.50 | Kazakhstan   9.00,2.5  2.08 | 2.5  1.68,0.5   1.05 | 1.5   1.35 | 3.5   3.98 | 4.5   8.75 | 5.5   13.11 | 6.5   13.11,0.5   8.32 | 1.5   2.98 | 3.5   1.21 | 4.5   1.04 | 5.5 | 6.5,Yes  2.57 | No  1.41,Greece  1.16 | Kazakhstan  4.24,Yes  2.57 | No  1.41,Greece   1.62 | Kazakhstan   5.50,Greece   2.20 | Kazakhstan   1.14,Yes  2.33 | No  1.50,Yes  10.01 | No,0.5  1.42 | 0.5  2.60,Yes   2.5  3.25 | 2.5  10.00,No   2.5  4.80 | 2.5  1.95,Yes   3.5  5.50 | 3.5  4.30,No   3.5  12.50 | 3.5  1.65,Yes   4.5  10.50 | 4.5  3.15,No   4.5  26.00 | 4.5  1.54
UEFA Euro 2024,"Jun 14, 2024",20:00,Germany,Scotland,Germany   1.23 | Draw   5.75 | Scotland   10.00,2.5  1.70 | 2.5  2.06,0.5 | 1.5   1.20 | 3.5   2.90 | 4.5   5.65 | 5.5   11.77 | 6.5   13.11,0.5   13.11 | 1.5   4.19 | 3.5   1.37 | 4.5   1.11 | 5.5 | 6.5,Yes  2.25 | No  1.53,Germany  1.10 | Scotland  5.15,Yes  2.25 | No  1.53,Germany   1.71 | Scotland   9.50,Germany   2.20 | Scotland   1.07,Yes  1.93 | No  1.73,Yes  10.01 | No,1.5  2.47 | 1.5  1.47,Yes   2.5  2.85 | 2.5  10.50,No   2.5  4.10 | 2.5  2.45,Yes   3.5  4.20 | 3.5  4.80,No   3.5  8.25 | 3.5  1.89,Yes   4.5  7.25 | 4.5  3.20,No   4.5  17.00 | 4.5  1.69
UEFA Euro 2024,"Jun 15, 2024",14:00,Hungary,Switzerland,Hungary   2.80 | Draw   3.25 | Switzerland   2.35,2.5  1.86 | 2.5  1.86,0.5   1.02 | 1.5   1.27 | 3.5   3.38 | 4.5   6.81 | 5.5   13.11 | 6.5   13.11,0.5   10.75 | 1.5   3.47 | 3.5   1.28 | 4.5   1.08 | 5.5 | 6.5,Yes  1.64 | No  2.04,Hungary  1.92 | Switzerland  1.73,Yes  1.64 | No  2.04,Hungary   3.90 | Switzerland   3.35,Hungary   1.27 | Switzerland   1.35,Yes  4.14 | No  1.17,Yes  3.51 | No  1.23,1.5  2.79 | 1.5  1.37,Yes   2.5  2.20 | 2.5  6.50,No   2.5  11.50 | 2.5  2.45,Yes   3.5  3.60 | 3.5  3.00,No   3.5  26.00 | 3.5  2.20,Yes   4.5  7.00 | 4.5  2.15,No   4.5  42.00 | 4.5  2.15
UEFA Euro 2024,"Jun 15, 2024",17:00,Spain,Croatia,Spain   1.66 | Draw   3.60 | Croatia   4.90,2.5  1.86 | 2.5  1.86,0.5   1.01 | 1.5   1.26 | 3.5   3.31 | 4.5   6.68 | 5.5   13.11 | 6.5   13.11,0.5   11.09 | 1.5   3.56 | 3.5   1.29 | 4.5   1.08 | 5.5 | 6.5,Yes  1.75 | No  1.90,Spain  1.40 | Croatia  2.61,Yes  1.75 | No  1.90,Spain   2.50 | Croatia   5.25,Spain   1.56 | Croatia   1.17,Yes  2.69 | No  1.38,Yes  5.97 | No  1.07,1.5  2.74 | 1.5  1.39,Yes   2.5  2.30 | 2.5  7.00,No   2.5  8.50 | 2.5  2.45,Yes   3.5  3.80 | 3.5  3.30,No   3.5  19.00 | 3.5  2.10,Yes   4.5  7.25 | 4.5  2.30,No   4.5  35.00 | 4.5  2.00
UEFA Euro 2024,"Jun 15, 2024",20:00,Italy,Albania,Italy   1.36 | Draw   4.50 | Albania   7.75,2.5  1.96 | 2.5  1.77,0.5   1.02 | 1.5   1.29 | 3.5   3.68 | 4.5   7.67 | 5.5   13.11 | 6.5   13.11,0.5   10.33 | 1.5   3.32 | 3.5   1.25 | 4.5   1.06 | 5.5 | 6.5,Yes  2.29 | No  1.51,Italy  1.16 | Albania  4.28,Yes  2.29 | No  1.51,Italy   1.74 | Albania   6.75,Italy   2.15 | Albania   1.11,Yes  2.29 | No  1.51,Yes  10.01 | No,0.5  1.35 | 0.5  2.86,Yes   2.5  3.05 | 2.5  8.75,No   2.5  5.25 | 2.5  2.15,Yes   3.5  4.90 | 3.5  4.20,No   3.5  11.50 | 3.5  1.74,Yes   4.5  9.50 | 4.5  3.00,No   4.5  25.00 | 4.5  1.62
UEFA Euro 2024,"Jun 16, 2024",17:00,Slovenia,Denmark,Slovenia   4.20 | Draw   3.25 | Denmark   1.86,2.5  1.86 | 2.5  1.86,0.5   1.02 | 1.5   1.27 | 3.5   3.40 | 4.5   6.89 | 5.5   13.11 | 6.5   13.11,0.5   10.75 | 1.5   3.46 | 3.5   1.28 | 4.5   1.07 | 5.5 | 6.5,Yes  1.73 | No  1.93,Slovenia  2.44 | Denmark  1.45,Yes  1.73 | No  1.93,Slovenia   4.90 | Denmark   2.65,Slovenia   1.19 | Denmark   1.50,Yes  5.47 | No  1.09,Yes  2.90 | No  1.33,1.5  2.79 | 1.5  1.37,Yes   2.5  2.30 | 2.5  6.75,No   2.5  9.50 | 2.5  2.40,Yes   3.5  3.80 | 3.5  3.20,No   3.5  22.00 | 3.5  2.10,Yes   4.5  7.25 | 4.5  2.25,No   4.5  38.00 | 4.5  2.05
UEFA Euro 2024,"Jun 16, 2024",20:00,Serbia,England,Serbia   5.00 | Draw   3.50 | England   1.67,2.5  1.77 | 2.5  1.96,0.5 | 1.5   1.22 | 3.5   3.03 | 4.5   5.92 | 5.5   12.32 | 6.5   13.11,0.5   12.27 | 1.5   3.88 | 3.5   1.34 | 4.5   1.10 | 5.5 | 6.5,Yes  1.71 | No  1.95,Serbia  2.72 | England  1.37,Yes  1.71 | No  1.95,Serbia   6.00 | England   2.50,Serbia   1.14 | England   1.55,Yes  5.95 | No  1.07,Yes  2.49 | No  1.44,1.5  2.59 | 1.5  1.43,Yes   2.5  2.20 | 2.5  7.50,No   2.5  7.75 | 2.5  2.60,Yes   3.5  3.45 | 3.5  3.40,No   3.5  17.00 | 3.5  2.20,Yes   4.5  6.50 | 4.5  2.35,No   4.5  32.00 | 4.5  2.05
UEFA Euro 2024,"Jun 17, 2024",17:00,Belgium,Slovakia,Belgium   1.64 | Draw   3.60 | Slovakia   5.00,2.5  1.77 | 2.5  1.96,0.5 | 1.5   1.21 | 3.5   2.95 | 4.5   5.74 | 5.5   11.80 | 6.5   13.11,0.5   12.65 | 1.5   4.00 | 3.5   1.36 | 4.5   1.11 | 5.5 | 6.5,Yes  1.71 | No  1.95,Belgium  1.32 | Slovakia  2.93,Yes  1.71 | No  1.95,Belgium   2.45 | Slovakia   6.50,Belgium   1.57 | Slovakia   1.13,Yes  2.39 | No  1.47,Yes  6.15 | No  1.07,1.5  2.54 | 1.5  1.44,Yes   2.5  2.20 | 2.5  7.75,No   2.5  7.50 | 2.5  2.65,Yes   3.5  3.40 | 3.5  3.45,No   3.5  16.00 | 3.5  2.20,Yes   4.5  6.25 | 4.5  2.35,No   4.5  31.00 | 4.5  2.05
UEFA Euro 2024,"Jun 17, 2024",20:00,Austria,France,Austria   7.75 | Draw   3.70 | France   1.46,2.5  1.70 | 2.5  2.06,0.5 | 1.5   1.17 | 3.5   2.60 | 4.5   4.83 | 5.5   9.83 | 6.5   13.11,0.5   13.11 | 1.5   4.62 | 3.5   1.45 | 4.5   1.15 | 5.5   1.03 | 6.5,Yes  1.72 | No  1.94,Austria  3.60 | France  1.22,Yes  1.72 | No  1.94,Austria   8.25 | France   2.30,Austria   1.09 | France   1.64,Yes  7.65 | No  1.03,Yes  2.15 | No  1.58,1.5  2.34 | 1.5  1.52,Yes   2.5  2.15 | 2.5  8.75,No   2.5  6.00 | 2.5  2.85,Yes   3.5  3.15 | 3.5  3.80,No   3.5  12.00 | 3.5  2.30,Yes   4.5  5.50 | 4.5  2.50,No   4.5  24.00 | 4.5  2.10
UEFA Euro 2024,"Jun 18, 2024",20:00,Portugal,Czech Republic,Portugal   1.66 | Draw   3.40 | Czech Republic   5.25,2.5  1.96 | 2.5  1.77,0.5   1.02 | 1.5   1.27 | 3.5   3.46 | 4.5   7.12 | 5.5   13.11 | 6.5   13.11,0.5   10.75 | 1.5   3.45 | 3.5   1.27 | 4.5   1.07 | 5.5 | 6.5,Yes  1.94 | No  1.72,Portugal  1.26 | Czech Republic  3.25,Yes  1.94 | No  1.72,Portugal   2.10 | Czech Republic   6.00,Portugal   1.76 | Czech Republic   1.14,Yes  2.50 | No  1.43,Yes  7.89 | No  1.03,1.5  2.80 | 1.5  1.37,Yes   2.5  2.60 | 2.5  7.75,No   2.5  7.00 | 2.5  2.30,Yes   3.5  4.20 | 3.5  3.60,No   3.5  16.00 | 3.5  1.95,Yes   4.5  8.00 | 4.5  2.55,No   4.5  30.00 | 4.5  1.83
English Premier League,Today,20:30,Wolverhampton Wanderers,Burnley,Wolverhampton Wanderers   1.81 | Draw   3.60 | Burnley   4.30,2.5  1.83 | 2.5  1.93,0.5   1.03 | 1.5   1.28 | 3.5   3.34 | 4.5   6.41 | 5.5   14.18 | 6.5   15.43,0.5   9.76 | 1.5   3.45 | 3.5   1.31 | 4.5   1.09 | 5.5 | 6.5,Yes  1.84 | No  1.84,Wolverhampton Wanderers  1.47 | Burnley  2.46,Yes  1.84 | No  1.84,Wolverhampton Wanderers   2.50 | Burnley   4.30,Wolverhampton Wanderers   1.50 | Burnley   1.20,Yes  2.73 | No  1.39,Yes  5.36 | No  1.11,0.5  1.38 | 0.5  2.71,Yes   2.5  2.30 | 2.5  7.00,No   2.5  8.50 | 2.5  2.30,Yes   3.5  4.00 | 3.5  3.25,No   3.5  22.00 | 3.5  2.05,Yes   4.5  7.75 | 4.5  2.30,No   4.5  38.00 | 4.5  2.00
English Premier League,Today,21:15,Luton Town,Arsenal,Luton Town   13.50 | Draw   6.50 | Arsenal   1.20,3.5  2.37 | 3.5  1.56,0.5 | 1.5   1.15 | 2.5   1.53 | 4.5   3.95 | 5.5   7.90 | 6.5   14.18 | 7.5   15.43,0.5   14.18 | 1.5   4.93 | 2.5   2.40 | 4.5   1.23 | 5.5   1.07 | 6.5 | 7.5,Yes  2.08 | No  1.65,Luton Town  5.30 | Arsenal  1.11,Yes  2.08 | No  1.65,Luton Town   11.00 | Arsenal   1.73,Luton Town   1.05 | Arsenal   2.00,Yes  9.60 | No  1.02,Yes  1.72 | No  1.98,1.5  2.16 | 1.5  1.59,Yes   2.5  2.50 | 2.5  13.00,No   2.5  3.40 | 2.5  2.90,Yes   3.5  3.50 | 3.5  5.25,No   3.5  7.00 | 3.5  2.15,Yes   4.5  5.75 | 4.5  3.30,No   4.5  14.00 | 4.5  1.86
English Premier League,Tomorrow,20:30,Brighton & Hove Albion,Brentford,Brighton & Hove Albion   1.85 | Draw   3.80 | Brentford   3.70,2.5  1.61 | 2.5  2.23,0.5 | 1.5   1.18 | 3.5   2.46 | 4.5   4.44 | 5.5   8.80 | 6.5   14.18 | 7.5   14.18,0.5   14.18 | 1.5   4.44 | 3.5   1.51 | 4.5   1.18 | 5.5   1.05 | 6.5 | 7.5,Yes  1.50 | No  2.34,Brighton & Hove Albion  1.48 | Brentford  2.18,Yes  1.50 | No  2.34,Brighton & Hove Albion   3.25 | Brentford   5.50,Brighton & Hove Albion   1.33 | Brentford   1.14,Yes  2.44 | No  1.46,Yes  3.92 | No  1.19,1.5  2.34 | 1.5  1.50,Yes   2.5  1.83 | 2.5  7.50,No   2.5  8.50 | 2.5  3.00,Yes   3.5  2.80 | 3.5  3.25,No   3.5  21.00 | 3.5  2.65,Yes   4.5  4.90 | 4.5  2.15,No   4.5  36.00 | 4.5  2.50
English Premier League,Tomorrow,20:30,Fulham,Nottingham Forest,Fulham   1.95 | Draw   3.35 | Nottingham Forest   3.70,2.5  1.97 | 2.5  1.78,0.5   1.03 | 1.5   1.30 | 3.5   3.45 | 4.5   6.89 | 5.5   14.18 | 6.5   14.18,0.5   9.76 | 1.5   3.33 | 3.5   1.28 | 4.5   1.08 | 5.5 | 6.5,Yes  1.76 | No  1.91,Fulham  1.54 | Nottingham Forest  2.25,Yes  1.76 | No  1.91,Fulham   2.65 | Nottingham Forest   4.00,Fulham   1.44 | Nottingham Forest   1.22,Yes  3.15 | No  1.29,Yes  5.33 | No  1.10,0.5  1.38 | 0.5  2.71,Yes   2.5  2.30 | 2.5  6.50,No   2.5  9.50 | 2.5  2.30,Yes   3.5  4.00 | 3.5  3.10,No   3.5  25.00 | 3.5  2.05,Yes   4.5  8.00 | 4.5  2.25,No   4.5  40.00 | 4.5  2.00
English Premier League,Tomorrow,20:30,Crystal Palace,Bournemouth AFC,Crystal Palace   2.20 | Draw   3.35 | Bournemouth AFC   3.10,2.5  1.92 | 2.5  1.82,0.5   1.03 | 1.5   1.28 | 3.5   3.33 | 4.5   6.41 | 5.5   12.62 | 6.5   14.18,0.5   9.76 | 1.5   3.45 | 3.5   1.30 | 4.5   1.09 | 5.5 | 6.5,Yes  1.72 | No  1.96,Crystal Palace  1.66 | Bournemouth AFC  2.03,Yes  1.72 | No  1.96,Crystal Palace   3.00 | Bournemouth AFC   3.80,Crystal Palace   1.36 | Bournemouth AFC   1.25,Yes  3.15 | No  1.29,Yes  4.35 | No  1.16,0.5  1.38 | 0.5  2.71,Yes   2.5  2.25 | 2.5  6.50,No   2.5  10.00 | 2.5  2.40,Yes   3.5  3.70 | 3.5  3.05,No   3.5  26.00 | 3.5  2.20,Yes   4.5  7.25 | 4.5  2.20,No   4.5  42.00 | 4.5  2.15
English Premier League,Tomorrow,20:30,Sheffield United,Liverpool,Sheffield United   13.50 | Draw   7.25 | Liverpool   1.16,3.5  1.78 | 3.5  1.97,0.5 | 1.5   1.06 | 2.5   1.28 | 4.5   2.72 | 5.5   4.44 | 6.5   8.80 | 7.5   14.18 | 8.5   14.18 | 9.5   14.18,0.5   14.18 | 1.5   7.86 | 2.5   3.45 | 4.5   1.43 | 5.5   1.18 | 6.5   1.05 | 7.5 | 8.5 | 9.5,Yes  1.72 | No  1.96,Sheffield United  4.55 | Liverpool  1.11,Yes  1.72 | No  1.96,Sheffield United   15.00 | Liverpool   2.10,Sheffield United   1.03 | Liverpool   1.67,Yes  6.74 | No  1.06,Yes  1.50 | No  2.34,1.5  1.83 | 1.5  1.83,Yes   2.5  1.90 | 2.5  15.00,No   2.5  3.50 | 2.5  4.00,Yes   3.5  2.40 | 3.5  5.50,No   3.5  6.25 | 3.5  2.95,Yes   4.5  3.60 | 4.5  3.25,No   4.5  11.50 | 4.5  2.40
English Premier League,Tomorrow,21:15,Aston Villa,Manchester City,Aston Villa   4.40 | Draw   4.10 | Manchester City   1.66,3.5  2.26 | 3.5  1.59,0.5 | 1.5   1.15 | 2.5   1.50 | 4.5   3.93 | 5.5   6.89 | 6.5   14.18 | 7.5   14.18 | 8.5   14.18,0.5   14.18 | 1.5   4.93 | 2.5   2.49 | 4.5   1.23 | 5.5   1.08 | 6.5 | 7.5 | 8.5,Yes  1.50 | No  2.34,Aston Villa  2.39 | Manchester City  1.36,Yes  1.50 | No  2.34,Aston Villa   6.50 | Manchester City   3.00,Aston Villa   1.11 | Manchester City   1.36,Yes  3.92 | No  1.19,Yes  2.16 | No  1.59,1.5  2.23 | 1.5  1.55,Yes   2.5  1.80 | 2.5  8.00,No   2.5  7.50 | 2.5  3.20,Yes   3.5  2.55 | 3.5  3.45,No   3.5  17.00 | 3.5  2.85,Yes   4.5  4.30 | 4.5  2.20,No   4.5  31.00 | 4.5  2.65
English Premier League,Tomorrow,21:15,Manchester United,Chelsea,Manchester United   2.75 | Draw   3.50 | Chelsea   2.35,2.5  1.66 | 2.5  2.14,0.5 | 1.5   1.18 | 3.5   2.57 | 4.5   4.44 | 5.5   8.80 | 6.5   14.18 | 7.5   14.18,0.5   12.62 | 1.5   4.44 | 3.5   1.47 | 4.5   1.18 | 5.5   1.05 | 6.5 | 7.5,Yes  1.50 | No  2.34,Manchester United  1.84 | Chelsea  1.68,Yes  1.50 | No  2.34,Manchester United   4.30 | Chelsea   3.80,Manchester United   1.20 | Chelsea   1.25,Yes  3.40 | No  1.25,Yes  2.93 | No  1.33,1.5  2.44 | 1.5  1.46,Yes   2.5  1.90 | 2.5  6.50,No   2.5  10.00 | 2.5  2.90,Yes   3.5  2.90 | 3.5  3.10,No   3.5  25.00 | 3.5  2.60,Yes   4.5  5.25 | 4.5  2.10,No   4.5  40.00 | 4.5  2.50
English Premier League,"Dec 7, 2023",20:30,Everton,Newcastle United,Everton   3.00 | Draw   3.35 | Newcastle United   2.25,2.5  1.87 | 2.5  1.87,0.5   1.03 | 1.5   1.26 | 3.5   3.33 | 4.5   5.90 | 5.5   12.62 | 6.5   14.18 | 7.5   14.18,0.5   9.76 | 1.5   3.65 | 3.5   1.30 | 4.5   1.11 | 5.5 | 6.5 | 7.5,Yes  1.67 | No  2.02,Everton  2.00 | Newcastle United  1.68,Yes  1.67 | No  2.02,Everton   4.00 | Newcastle United   3.00,Everton   1.22 | Newcastle United   1.36,Yes  3.92 | No  1.19,Yes  3.15 | No  1.29,1.5  2.70 | 1.5  1.37,Yes   2.5  2.20 | 2.5  6.00,No   2.5  10.00 | 2.5  2.50,Yes   3.5  3.60 | 3.5  3.05,No   3.5  26.00 | 3.5  2.25,Yes   4.5  6.75 | 4.5  2.15,No   4.5  42.00 | 4.5  2.15
English Premier League,"Dec 7, 2023",21:15,Tottenham Hotspur,West Ham United,Tottenham Hotspur   1.72 | Draw   4.10 | West Ham United   4.00,3.5  2.17 | 3.5  1.65,0.5 | 1.5   1.13 | 2.5   1.50 | 4.5   3.93 | 5.5   6.89 | 6.5   12.62 | 7.5   14.18 | 8.5   14.18,0.5   14.18 | 1.5   5.45 | 2.5   2.49 | 4.5   1.23 | 5.5   1.08 | 6.5 | 7.5 | 8.5,Yes  1.46 | No  2.44,Tottenham Hotspur  1.40 | West Ham United  2.28,Yes  1.46 | No  2.44,Tottenham Hotspur   3.40 | West Ham United   6.50,Tottenham Hotspur   1.30 | West Ham United   1.11,Yes  2.23 | No  1.55,Yes  3.66 | No  1.22,1.5  2.16 | 1.5  1.59,Yes   2.5  1.73 | 2.5  8.00,No   2.5  7.50 | 2.5  3.40,Yes   3.5  2.45 | 3.5  3.45,No   3.5  18.00 | 3.5  2.95,Yes   4.5  4.10 | 4.5  2.20,No   4.5  32.00 | 4.5  2.75
English Premier League,"Dec 9, 2023",13:30,Crystal Palace,Liverpool,Crystal Palace   5.00 | Draw   4.20 | Liverpool   1.55,2.5  1.55 | 2.5  2.32,0.5 | 1.5   1.15 | 3.5   2.34 | 4.5   4.23 | 5.5   7.82 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.91 | 3.5   1.54 | 4.5   1.19 | 5.5   1.06 | 6.5 | 7.5,Yes  1.58 | No  2.15,Crystal Palace  2.73 | Liverpool  1.31,Yes  1.58 | No  2.15,Crystal Palace   7.00 | Liverpool   2.65,Crystal Palace   1.10 | Liverpool   1.44,Yes  4.80 | No  1.12,Yes  2.15 | No  1.58,1.5  2.21 | 1.5  1.54,Yes   2.5  1.95 | 2.5  8.00,No   2.5  6.50 | 2.5  3.00,Yes   3.5  2.70 | 3.5  3.50,No   3.5  15.00 | 3.5  2.60,Yes   4.5  4.60 | 4.5  2.30,No   4.5  28.00 | 4.5  2.40
English Premier League,"Dec 9, 2023",16:00,Wolverhampton Wanderers,Nottingham Forest,Wolverhampton Wanderers   1.90 | Draw   3.40 | Nottingham Forest   3.70,2.5  1.96 | 2.5  1.77,0.5   1.03 | 1.5   1.29 | 3.5   3.43 | 4.5   6.85 | 5.5   13.11 | 6.5   13.11,0.5   9.70 | 1.5   3.31 | 3.5   1.27 | 4.5   1.08 | 5.5 | 6.5,Yes  1.75 | No  1.90,Wolverhampton Wanderers  1.51 | Nottingham Forest  2.29,Yes  1.75 | No  1.90,Wolverhampton Wanderers   2.50 | Nottingham Forest   4.00,Wolverhampton Wanderers   1.50 | Nottingham Forest   1.22,Yes  3.13 | No  1.28,Yes  4.80 | No  1.12,0.5  1.37 | 0.5  2.70,Yes   2.5  2.40 | 2.5  6.50,No   2.5  9.00 | 2.5  2.25,Yes   3.5  4.00 | 3.5  3.10,No   3.5  24.00 | 3.5  2.05,Yes   4.5  8.00 | 4.5  2.25,No   4.5  40.00 | 4.5  2.00
English Premier League,"Dec 9, 2023",16:00,Sheffield United,Brentford,Sheffield United   4.50 | Draw   3.90 | Brentford   1.64,2.5  1.70 | 2.5  2.05,0.5 | 1.5   1.22 | 3.5   2.92 | 4.5   4.91 | 5.5   10.67 | 6.5   13.11 | 7.5   13.11,0.5   12.55 | 1.5   3.91 | 3.5   1.36 | 4.5   1.15 | 5.5   1.02 | 6.5 | 7.5,Yes  1.71 | No  1.95,Sheffield United  2.59 | Brentford  1.37,Yes  1.71 | No  1.95,Sheffield United   5.50 | Brentford   2.50,Sheffield United   1.14 | Brentford   1.50,Yes  5.30 | No  1.10,Yes  2.43 | No  1.46,1.5  2.57 | 1.5  1.41,Yes   2.5  2.10 | 2.5  7.50,No   2.5  7.50 | 2.5  2.60,Yes   3.5  3.35 | 3.5  3.35,No   3.5  18.00 | 3.5  2.25,Yes   4.5  6.25 | 4.5  2.30,No   4.5  33.00 | 4.5  2.15
English Premier League,"Dec 9, 2023",16:00,Manchester United,Bournemouth AFC,Manchester United   1.60 | Draw   4.10 | Bournemouth AFC   4.60,2.5  1.60 | 2.5  2.22,0.5 | 1.5   1.18 | 3.5   2.56 | 4.5   4.42 | 5.5   8.75 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.42 | 3.5   1.46 | 4.5   1.18 | 5.5   1.04 | 6.5 | 7.5,Yes  1.63 | No  2.05,Manchester United  1.36 | Bournemouth AFC  2.62,Yes  1.63 | No  2.05,Manchester United   2.65 | Bournemouth AFC   6.00,Manchester United   1.44 | Bournemouth AFC   1.13,Yes  2.33 | No  1.50,Yes  4.80 | No  1.12,1.5  2.43 | 1.5  1.46,Yes   2.5  2.00 | 2.5  8.00,No   2.5  7.00 | 2.5  2.75,Yes   3.5  2.90 | 3.5  3.40,No   3.5  17.00 | 3.5  2.50,Yes   4.5  5.00 | 4.5  2.25,No   4.5  31.00 | 4.5  2.35
English Premier League,"Dec 9, 2023",16:00,Brighton & Hove Albion,Burnley,Brighton & Hove Albion   1.47 | Draw   4.50 | Burnley   5.25,3.5  2.25 | 3.5  1.58,0.5 | 1.5   1.15 | 2.5   1.52 | 4.5   3.91 | 5.5   7.82 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.91 | 2.5   2.39 | 4.5   1.22 | 5.5   1.06 | 6.5 | 7.5,Yes  1.63 | No  2.05,Brighton & Hove Albion  1.28 | Burnley  2.78,Yes  1.63 | No  2.05,Brighton & Hove Albion   2.65 | Burnley   8.00,Brighton & Hove Albion   1.44 | Burnley   1.08,Yes  1.96 | No  1.70,Yes  4.80 | No  1.12,1.5  2.21 | 1.5  1.54,Yes   2.5  1.90 | 2.5  9.00,No   2.5  6.00 | 2.5  3.10,Yes   3.5  2.70 | 3.5  3.70,No   3.5  14.00 | 3.5  2.60,Yes   4.5  4.60 | 4.5  2.35,No   4.5  26.00 | 4.5  2.40
English Premier League,"Dec 9, 2023",18:30,Aston Villa,Arsenal,Aston Villa   3.20 | Draw   3.60 | Arsenal   2.00,2.5  1.60 | 2.5  2.22,0.5 | 1.5   1.18 | 3.5   2.45 | 4.5   4.42 | 5.5   8.75 | 6.5   13.11 | 7.5   13.11,0.5   13.11 | 1.5   4.42 | 3.5   1.50 | 4.5   1.18 | 5.5   1.04 | 6.5 | 7.5,Yes  1.50 | No  2.33,Aston Villa  2.00 | Arsenal  1.54,Yes  1.50 | No  2.33,Aston Villa   5.00 | Arsenal   3.40,Aston Villa   1.17 | Arsenal   1.30,Yes  3.64 | No  1.21,Yes  2.70 | No  1.37,1.5  2.33 | 1.5  1.50,Yes   2.5  1.83 | 2.5  7.00,No   2.5  9.00 | 2.5  3.00,Yes   3.5  2.75 | 3.5  3.15,No   3.5  22.00 | 3.5  2.65,Yes   4.5  4.90 | 4.5  2.10,No   4.5  37.00 | 4.5  2.55
